id;area_conocimiento_id;padre_id;titulo;orden;trimestre
3109070500;3109;3109070000;El Valor Del Perdón.;5;
3109080100;3109;3109080000;Análisis De Los Beneficios Y Riesgos De La Tecnología.;1;
3109080200;3109;3109080000;Responsabilidad Y Cuidado Del Manejo De La Información Personal En Las Redes Sociales.;2;
3109080300;3109;3109080000;Integridad Física, Psicológica Y Emocional De Los Adolescentes Frente A Las Redes Sociales.;3;
3109090100;3109;3109090000;Mi Identidad;1;
3109090200;3109;3109090000;Autoestima;2;
3109090300;3109;3109090000;Dignidad;3;
3109100100;3109;3109100000;La Ritualidad (Oraciones, Ofrendas Según Las Culturas Y Religiones);1;
3109100200;3109;3109100000;El Llamado De Dios-Vocación (Propósito De Dios).;2;
3109100300;3109;3109100000;Conocer Las Vocaciones Al Servicio De Los Demás:;3;
3109100400;3109;3109100000;Llamados A La Santidad;4;
3209010100;3209;3209010000;Sincretismo Religioso En Las Festividades Patronales Y Litúrgicas De Mi Comunidad.;1;
3209010200;3209;3209010000;Ritualidades Y Celebraciones En Nuestras Familias Y Comunidades Según Las Regiones.;2;
3209010300;3209;3209010000;La Celebración De La Cuaresma;3;
3209010400;3209;3209010000;Semana Santa;4;
3209010500;3209;3209010000;La Pascua;5;
3209020100;3209;3209020000;La Práctica Del Valor Del Respeto (Uno Mismo, El Otro, La Creación);1;
3209020200;3209;3209020000;Reconocer, Asumir Y Respetar Nuestra Identidad Religiosa, Espiritual Y Cultural;2;
3209020300;3209;3209020000;El Sacramento De La Eucaristía (Compartir, Unidad);3;
3209030100;3209;3209030000;Prevención De La Violencia Física, Psicológica Y Sexual;1;
3209030200;3209;3209030000;Equidad De Género En Igualdad De Oportunidades;2;
3209040100;3209;3209040000;"El Sentido Comunitario De Los Pueblos Ancestrales De Bolivia (Chacha Warmi; Wila Masi).";1;
3209040200;3209;3209040000;Interrelación Armoniosa Y Espiritual Desde Las Cosmovisiones Indígenas.;2;
3209050100;3209;3209050000;María Figura De Hija, Mujer Y Madre.;1;
3209050200;3209;3209050000;Fiestas, Advocaciones Marianas Según El Calendario Litúrgico.;2;
3209050300;3209;3209050000;Los Dogmas Marianos.;3;
3209060100;3209;3209060000;Individualismo-Egoísmo Competencia Desleal;1;
3209060200;3209;3209060000;Los Vicios, Adicciones Que Dañan Al Espíritu-Alma.;2;
3209060300;3209;3209060000;La Libertad Y El Libertinaje.;3;
3209060400;3209;3209060000;Acciones Que Afectan Al Equilibrio Y Armonía Con La Tierra (Consumo Irresponsable);4;
3209060500;3209;3209060000;Los Pecados Sociales (La Injusticia, La Ambición, Corrupción);5;
3209070100;3209;3209070000;Líderes Espirituales Que Contribuyen A Una Cultura De Paz.;1;
3209070200;3209;3209070000;Respeto Y Valoración A Las Personas De La Tercera Edad En Gratitud A Su Servicio En La Construcción De La Armonía En La Familia Y La Comunidad.;2;
3209070300;3209;3209070000;Sabios Y Sabias Espirituales Responsables De Las Ritualidades Que Contribuyen En El Ser Humano (Yatiris, Amautas, Chamanes, Ñeegari).;3;
3209070400;3209;3209070000;Sabias Y Sabios Espirituales Responsables De La Salud Y Armonía Espiritual (Kallawayas Y Payeret).;4;
3209080100;3209;3209080000;La Vocación Y Los Estilos De Vida.;1;
3209080200;3209;3209080000;Vidas Ejemplares En El Matrimonio Y La Familia Para Construir La Vocación.;2;
3209080300;3209;3209080000;Vidas Ejemplares En La Sociedad (Según El Contexto);3;
3209080400;3209;3209080000;Mi Vocación Y Mi Misión;4;
3209090100;3209;3209090000;Figuras Bíblicas Modelo De Fe Y Esperanza (Los Patriarcas, Los Jueces Y Los Reyes De Israel, Profetas);1;
3209090200;3209;3209090000;Solemnidad De Todos Los Santos.;2;
3209090300;3209;3209090000;Celebración De Los Fieles Difuntos (Desde Lo Cultural);3;
3209090400;3209;3209090000;El Llamado A La Santidad (“Sed Santos, Porque Yo Soy Santo”);4;
3309010100;3309;3309010000;Concepción Del Ser Humano Desde El Cristianismo. (Soy Imagen De Dios);1;
3309010200;3309;3309010000;Concepción Del Ser Humano Desde Las Nypioc.;2;
3309010300;3309;3309010000;Principios Y Valores Del Ser Humano, Desde La Perspectiva Religiosa Y Cultural (Munay (Querer), Yachay (Saber) Y Llankay (Trabajar).;3;
3309020100;3309;3309020000;La Vivencia Espiritual Y Religiosa Desde El Cristianismo. (Cuaresma, Semana Santa);1;
3309020200;3309;3309020000;La Vivencia Espiritual Y Religiosa De Los Pueblos De Las Tierras Altas Y Bajas. (Carnaval);2;
3309020300;3309;3309020000;Diálogo Y Encuentro Espiritual Del Ser Humano, Respetando Sus Creencias Religiosas.;3;
3309030100;3309;3309030000;Signos Y Símbolos De La Espiritualidad Cristiana.;1;
3309030200;3309;3309030000;Tiempo Litúrgico.;2;
3309030300;3309;3309030000;Signos Y Símbolos De La Espiritualidad Y Religiosidad De Las Tierras Altas Y Bajas De Bolivia;3;
3309040100;3309;3309040000;Nuestros Valores, Cualidades Y La De Los Demás: Maneras De Ser (Empatía Y Resiliencia) Y Capacidades Del Saber, Habilidades Del Hacer Y La Forma Del Decidir.;1;
3309040200;3309;3309040000;Desarrollo De La Integralidad Del Ser Humano (A Imagen Y Semejanza De Dios) Desde La Espiritualidad Y Sus Creencias.;2;
3309050100;3309;3309050000;Inteligencias Múltiples;1;
3309050200;3309;3309050000;Dones Y Talentos (Capacidades Y Habilidades), Para El Servicio De La Comunidad;2;
3309050300;3309;3309050000;Descubriendo Mi Vocación.;3;
3309060100;3309;3309060000;Qué Es Sexo, Sexualidad, Género “Dios Los Creó Hombre Y Mujer”.;1;
3309060200;3309;3309060000;Visión Cristiana Del Enamoramiento Y La Sexualidad.;2;
3309060300;3309;3309060000;Visión De Las Nypioc Sobre La Vivencia Del Enamoramiento Y La Sexualidad.;3;
3309060400;3309;3309060000;Toma De Decisiones Responsables En El Desarrollo De La Sexualidad.;4;
3309070100;3309;3309070000;El Valor De La Familia Para Una Convivencia Armónica En La Sociedad. (El Valor Del Amor Y El Perdón);1;
3309070200;3309;3309070000;Derechos Y Deberes De Los Padres Y De Los Hijos.;2;
3309070300;3309;3309070000;Comunicación Asertiva En Las Relaciones Interpersonales, Para Fortalecer La Armonía En La Familia Y En La Sociedad;3;
3309080100;3309;3309080000;Desarrollo De La Autoestima;1;
3309080200;3309;3309080000;Complementariedad Y Dualidad.;2;
3309080300;3309;3309080000;Derechos Y Deberes De Hombres Y Mujeres Para Una Vida Armónica Y Plena.;3;
3309090100;3309;3309090000;Nociones De Ética, Moral Y Clasificación De Los Valores.;1;
3309090200;3309;3309090000;Transparencia Y Honradez En El Manejo Económico Y El Cuidado De Los Bienes Públicos, Para El Bien Común. (Ley 004 Lucha Contra La Corrupción Marcelo Quiroga Santa Cruz). Exodo 20,15, Jeremías 22,13.;2;
3309090300;3309;3309090000;Valores Que Se Relacionan Con La Biodiversidad En Cuidado De La Casa Común (Laudato Si).;3;
3409010100;3409;3409010000;Declaración De Los Derechos Universales.;1;
3409010200;3409;3409010000;Derechos Y Deberes Universales (A La Vida, La Libertad Y La Salud);2;
3409010300;3409;3409010000;"Los Principios Comunitarios, De Equidad De Género E Interculturalidad Que Permiten La Construcción De Una Sociedad En Armonía. (Ley 045; 348; 223)";3;
3409010400;3409;3409010000;Código De Niña, Niño Y Adolescente (548);4;
3409020100;3409;3409020000;Descubriendo Mi Vocación.;1;
3409020200;3409;3409020000;Valores De Convivencia:(Como Ser El Respeto, Tolerancia, Empatía, Etc.);2;
3409020300;3409;3409020000;Factores Sociales Que Afectan El Buen Trato (Bullying, Anorexia, Ciberbullying, Alcoholismo, Etc.);3;
