id,nombre,distrito_id,area,nivel,latitud,longitud
80980252,SEBASTIAN PAGADOR,3062,Urbano,4,-17.4391002655029,-66.1181182861328
80980253,VIRGEN DE GUADALUPE,3062,Urbano,3,-17.4391002655029,-66.1181182861328
80980255,COMPAÑIA DE JESUS,3062,Urbano,4,-17.4598999023438,-66.124397277832
80980256,CEFERINO NAMUNCURA,3062,Urbano,7,-17.4426531666101,-66.2286264896388
80980257,RAYMUNDO HERMAN,3061,Urbano,3,-17.362300872803,-66.189262390137
80980258,ISRAEL,3062,Urbano,3,-17.4899005889893,-66.1783294677734
80980259,ANDRES BELLO,3062,Urbano,4,-17.415932525654,-66.151411056519
80980264,MAX FERNANDEZ ROJAS,3061,Urbano,3,-17.343399047852,-66.177665710449
80980265,SANTA ELIZABETH SETON,3062,Urbano,7,-17.42868665575,-66.129593849182
80980266,SANTA LUISA DE MARILLAC,3062,Urbano,7,-17.42868665575,-66.129593849182
80980268,NORDICO BOLIVIANO,3062,Urbano,7,-17.4254899727454,-66.1235337257371
80980270,NUEVA VERA CRUZ,3062,Urbano,7,-17.462799072266,-66.117095947266
80980271,ALCIDES ARGUEDAS A,3062,Urbano,4,-17.4396103230838,-66.1610895272103
80980273,DANIEL SANCHEZ BUSTAMANTE,3061,Urbano,4,-17.3932991027832,-66.1528625488281
80980276,JOSE ANTONIO ARZE,3061,Urbano,4,-17.393699645996,-66.153518676758
80980277,LOURDES,3061,Urbano,2,-17.285560105027,-66.1486199375
80980278,MELCHOR GUZMAN QUITON,3061,Urbano,3,-17.3657549582059,-66.1483802199365
80980279,JUNIN,3061,Urbano,4,-17.393699645996,-66.153518676758
80980280,SUCRE,3061,Urbano,4,-17.3932991027832,-66.1528625488281
80980282,TEODOMIRO BELTRAN,3061,Urbano,4,-17.3932991027832,-66.1528625488281
80980283,WILGE RODRIGUEZ,3061,Urbano,2,-17.391799926758,-66.151550292969
80980284,BOLIVAR,3061,Urbano,4,-17.393699645996,-66.153518676758
80980285,BUENAS NUEVAS B,3062,Urbano,3,-17.419900894165,-66.146095275879
80980286,VISION MUNDIAL,3062,Urbano,7,-17.439699172974,-66.14404296875
80980287,JORGE TRIGO ANDIA,3062,Urbano,3,-17.439699172974,-66.14404296875
80980288,AYACUCHO,3061,Urbano,4,-17.374900817871,-66.140014648438
80980289,TAQUIÑA C,3061,Urbano,3,-17.343399047852,-66.177665710449
80980295,RENE BARRIENTOS ORTUÑO C,3061,Urbano,3,-17.37662269655,-66.118961691856
80980296,MARISTA SECUNDARIA,3061,Urbano,4,-17.3620009833119,-66.1622536331411
80980297,JUAN XXIII,3062,Urbano,2,-17.389600753784,-66.201950073242
80980299,SERGIO ALMARAZ PAZ,3062,Urbano,4,-17.421600341797,-66.159790039062
80980300,SANTO DOMINGO SAVIO B,3062,Urbano,4,-17.420999526977,-66.158950805664
80980301,AMOR DE DIOS,3062,Urbano,4,-17.4070181371142,-66.1503145694735
80980302,VICTOR PAZ ESTENSSORO,3062,Urbano,3,-17.4571990966797,-66.1131057739258
80980306,SAN RAFAEL B,3061,Urbano,4,-17.398000717163,-66.138710021973
80980308,LUIS QUINTIN VILA A,3061,Urbano,4,-17.3735008239746,-66.1880722045898
80980312,CARLOS MEDINACELLI,3062,Urbano,7,-17.4473991394043,-66.1557464599609
80980313,MARIA JOSEFA MUJIA,3062,Urbano,7,-17.427000045776,-66.143623352051
80980314,FRANZ TAMAYO B,3061,Urbano,4,-17.3952007293701,-66.1586608886719
80980322,HISPANO BOLIVIANO,3061,Urbano,7,-17.3974990844727,-66.1520690917969
80980323,HEIDI,3061,Urbano,6,-17.397100448608,-66.158615112305
80980324,GUINDA LINDA,3061,Urbano,1,-17.3927993774414,-66.1622314453125
80980325,GERONIMO DE OSORIO,3062,Urbano,7,-17.3964996337891,-66.1864395141602
80980327,SAN JOSE,3061,Urbano,7,-17.389875927908,-66.193013072014
80980328,SANTA MARIA MICAELA,3061,Urbano,7,-17.395299911499,-66.1567459106445
80980332,SEÑOR DE MAYO,3061,Urbano,7,-17.3735008239746,-66.1180801391602
80980333,TESORITO,3061,Urbano,3,-17.3747274481095,-66.1663637757299
80980334,SAN JOAQUIN A,3062,Urbano,7,-17.4127006530762,-66.1654586791992
80980335,SAINT GERMAIN,3061,Urbano,7,-17.397215617646,-66.158484220504
80980337,SAN AGUSTIN,3061,Urbano,6,-17.373199462891,-66.143966674805
80980338,RICHARD VON WEIZSACKER,3061,Urbano,6,-17.379299163818,-66.182411193848
80980340,PIO XII,3061,Urbano,7,-17.402000427246,-66.154174804688
80980341,PAULO VI,3061,Urbano,7,-17.3894996643066,-66.1700668334961
80980342,PAULO FREIRE,3061,Urbano,7,,
80980346,SANTA ANA DE CALA CALA MARYKNOLL,3061,Urbano,7,-17.377500534058,-66.167617797852
80980350,LA SALLE,3061,Urbano,7,-17.389451674578,-66.160709142685
80980353,ISAAC ATTIE,3061,Urbano,7,-17.3782997131348,-66.1587066650391
80980355,DOMINGO SAVIO,3061,Urbano,7,-17.381299972534,-66.143951416016
80980358,YUGOSLAVIA,3062,Urbano,7,-17.4162812547533,-66.1587574481965
80980362,AMERICANO,3061,Urbano,7,-17.369647416002,-66.154691696166
80980364,SHALOM,3061,Urbano,7,-17.3966999053955,-66.1604919433594
80980365,EMANUEL,3061,Urbano,7,-17.3864213669929,-66.1588313728574
80980366,ESTADOS UNIDOS,3061,Urbano,6,-17.4017137692926,-66.1551829576491
80980367,ESPAÑA,3061,Urbano,7,-17.3910007476807,-66.168830871582
80980368,ESCLAVAS DEL SAGRADO CORAZON DE JESUS,3061,Urbano,7,-17.376100540161,-66.137229919434
80980369,DON BOSCO,3061,Urbano,7,-17.38330078125,-66.151008605957
80980370,DOMINGO FAUSTINO SARMIENTO,3061,Urbano,7,-17.3893966583012,-66.1477039456362
80980371,DESPERTAD,3061,Urbano,7,-17.383800506592,-66.165153503418
80980374,FATIMA,3062,Urbano,7,-17.3986256280175,-66.1783227201314
80980376,CENDI,3061,Urbano,6,-17.39226988084,-66.144137682209
80980378,COCHABAMBA,3061,Urbano,7,-17.3958034641753,-66.1598072648052
80980379,CARIÑOSITO,3061,Urbano,1,-17.3910007476807,-66.1540145874023
80980380,CAPILLA DE COCHABAMBA,3061,Urbano,7,-17.3749189221007,-66.1320008039471
80980381,ENSEÑANZA COCHABAMBA,3061,Urbano,7,-17.3703002929688,-66.1332473754883
80980382,CALIFORNIA,3061,Urbano,7,-17.37380027771,-66.1464080810547
80980384,BOLIVIANO ARGENTINO,3061,Urbano,7,-17.391599655151,-66.157775878906
80980388,SAN ANTONIO MARIA CLARET,3061,Urbano,7,-17.393362,-66.151573
80980389,ANGLO AMERICANO,3061,Urbano,7,-17.3684997558594,-66.1560897827148
80980391,FEDERICO FROEBEL,3061,Urbano,7,-17.3617000579834,-66.1470260620117
80980396,LOYOLA,3061,Urbano,7,-17.3875007629395,-66.1464004516602
80980401,9 DE MARZO,3062,Urbano,7,-17.4323997497559,-66.1121520996094
80980404,PEDRO POVEDA,3061,Urbano,7,-17.3740005493164,-66.1437225341797
80980405,SUIZO ALEMAN,3061,Urbano,7,-17.336618508024,-66.184817314148
80980406,MARIA AUXILIADORA DE CRISTO REY A,3061,Urbano,7,-17.3903007507324,-66.1723861694336
80980409,BOLIVIANO CROATA,3061,Urbano,7,-17.3966922420925,-66.1536356683579
80980410,LOS ANGELES,3061,Urbano,1,-17.3968445399422,-66.1461470127101
80980411,SANTO DOMINGO SAVIO,3062,Urbano,7,-17.420999526977,-66.158950805664
80980414,BOLIVIANO JAPONES,3061,Urbano,3,-17.3666618276678,-66.1166826635604
80980415,VIRGEN DE MONSERRAT,3061,Urbano,1,-17.3730606276668,-66.1701536774633
80980416,SANTO DOMINGO DE GUZMAN,3061,Urbano,7,-17.3713484329469,-66.1886204481127
80980418,NUEVO CONOCER,3061,Urbano,3,-17.343000411987,-66.170913696289
80980422,EUSEBIO TUDELA TAPIA II,3062,Urbano,7,-17.4521999359131,-66.2029190063477
80980424,ULISES HERMOSA GONZALES,3061,Urbano,1,-17.3985574815495,-66.139430689415
80980425,EL MOLINO,3062,Urbano,7,-17.443367009156,-66.136103272438
80980426,OSCAR ROJAS CABALLERO,3062,Urbano,6,-17.434700012207,-66.1512451171875
80980428,MARIA MAZZARELLO,3062,Urbano,3,-17.4351005554199,-66.159538269043
80980429,SAN FRANCISCO JAVIER,3062,Urbano,7,-17.4692993164062,-66.1505355834961
80980431,SANTA TERESA DE LISIEUX,3062,Urbano,7,-17.45359992981,-66.141075134277
80980432,SAN MARCELINO,3061,Urbano,3,-17.347997588755,-66.169247031211
80980434,BOLIVIA JAPON MAÑANA,3062,Urbano,3,-17.4283008575439,-66.1574935913086
80980436,LUZ Y VERDAD,3062,Urbano,7,-17.4434026017679,-66.1529750823975
80980438,ATIY,3062,Urbano,7,-17.4635048469202,-66.1521828174594
80980439,MONTESSORI COCHABAMBA,3061,Urbano,3,-17.3654604628656,-66.165917992592
80980452,MONTESSORI GONZAGA,3061,Urbano,3,-17.3808816353715,-66.1903524398804
80980455,RINCONCITO DE LUZ,3061,Urbano,1,-17.3865199538061,-66.1759524345398
80980457,ANGLO JAPONES,3061,Urbano,6,-17.395400469206,-66.1630851542346
80980458,LIBERTAD,3062,Urbano,3,-17.4260895407962,-66.1143236160282
80980459,LUIS GUZMAN ARAUJO,3062,Urbano,2,-17.4213508203487,-66.1356111168857
80980460,GRAN TUNARI,3062,Urbano,3,-17.449800491333,-66.1101760864258
80980461,JUAN LECHIN OQUENDO,3062,Urbano,7,-17.451999664307,-66.11693572998
